pair,n,CMetric_IH,CMetric_CH,CMetric_IL,CMetric_CL,DSE_IH,DSE_CH,DSE_IL,DSE_CL,DSE_boundary
gemma3_27b_answerable_math_combined_llm_verdict,2573,998,1200,341,34,920,1189,419,45,0
gemma3_27b_sciq_combined_full_llm_verdict,13584,1089,11477,227,791,959,11317,357,951,0
gemma3_27b_triviaqa_combined_50K_llm_verdict,50000,6599,38102,2286,3013,6076,39645,2809,1470,0
gemma_answerable_math_combined_llm_verdict,2573,921,927,663,62,881,923,703,66,0
gemma_sciq_combined_full_llm_verdict,13584,1245,10922,426,991,1136,10935,535,978,0
gemma_triviaqa_combined_50K_llm_verdict,50000,8317,33954,5082,2647,7428,34580,5971,2021,0
llama_answerable_math_combined_llm_verdict,2573,145,566,1592,270,350,634,1387,202,0
llama_sciq_combined_llm_verdict,13565,365,6774,1403,5023,562,8972,1206,2825,0
llama_triviaqa_combined_50K_llm_verdict,50000,1379,23881,10043,14697,2044,30884,9378,7694,0
mistral_answerable_math_combined_llm_verdict,2573,171,323,1802,277,408,452,1565,148,0
mistral_sciq_combined_full_llm_verdict,13584,484,6147,1768,5185,737,8031,1515,3301,0
mistral_triviaqa_combined_50K_llm_verdict,50000,2879,26834,9330,10957,3714,32629,8495,5162,0
qwen3_14b_answerable_math_combined_llm_verdict,2573,501,1408,558,106,509,1396,550,118,0
qwen3_14b_sciq_combined_full_llm_verdict,13584,703,9837,582,2462,581,10111,704,2188,0
qwen3_14b_triviaqa_combined_50K_llm_verdict,50000,5264,30073,8910,5753,5875,33302,8299,2524,0
qwen_answerable_math_combined_llm_verdict,2573,837,1126,514,96,743,1117,608,105,0
qwen_sciq_combined_full_llm_verdict,13584,860,9211,840,2673,755,9510,945,2374,0
qwen_triviaqa_combined_50K_llm_verdict,50000,6337,27415,10949,5299,7345,30076,9941,2638,0
